deliverydate,peaktype,coast,east,far_west,north,north_c,southern,south_c,west,total
5/19/2016 0:00,PeakWD,10452,1278,1966,766,10901,3370,5853,1124,35713
5/20/2016 0:00,PeakWD,12485,1493,2129,1248,12014,3391,6605,1210,40578
5/23/2016 0:00,PeakWD,13520,1785,2307,1162,13435,4101,7571,1375,45261
5/24/2016 0:00,PeakWD,14394,1952,2318,1099,14708,4103,7887,1382,47846
5/25/2016 0:00,PeakWD,15309,1940,2385,1144,15321,4256,7937,1450,49746
5/26/2016 0:00,PeakWD,13395,1566,2324,1088,13596,4289,8161,1421,45844
5/27/2016 0:00,PeakWD,11962,1333,2196,972,12546,4425,7320,1150,41908
5/31/2016 0:00,PeakWD,13920,1798,1912,959,13791,4161,6945,1320,44809
6/1/2016 0:00,PeakWD,13086,1633,1823,910,13783,3838,7661,1248,43986
6/2/2016 0:00,PeakWD,11733,1592,1791,888,12758,3707,7061,1092,40625
6/3/2016 0:00,PeakWD,11744,1616,2038,929,13487,3648,7017,1260,41744
6/6/2016 0:00,PeakWD,13527,1827,2275,1082,15253,3909,7895,1293,47064
6/7/2016 0:00,PeakWD,14374,1971,2294,1113,16287,4148,8428,1354,49971
6/8/2016 0:00,PeakWD,14619,2004,2328,1212,16873,4059,8646,1423,51168
6/9/2016 0:00,PeakWD,14290,2060,2361,1244,17249,4280,8609,1515,51611
6/10/2016 0:00,PeakWD,14692,2048,2328,1234,17269,4251,8554,1486,51864
6/13/2016 0:00,PeakWD,15436,1944,2449,1092,15470,4615,9395,1635,52039
6/14/2016 0:00,PeakWD,15866,2149,2493,1230,17177,4599,9140,1619,54276
6/15/2016 0:00,PeakWD,16387,2117,2368,1315,18787,4661,9624,1666,56928
6/16/2016 0:00,PeakWD,16530,2162,2413,1342,19084,4638,9567,1644,57383
6/17/2016 0:00,PeakWD,16373,2157,2493,1359,18869,4656,9573,1650,57132
6/20/2016 0:00,PeakWD,15339,2175,2383,1295,18718,4277,9345,1555,55089
6/21/2016 0:00,PeakWD,14803,2213,2435,1347,19492,4462,9530,1616,55902
6/22/2016 0:00,PeakWD,15295,2223,2511,1392,19544,4544,9547,1678,56738
6/23/2016 0:00,PeakWD,15650,2163,2475,1373,19146,4466,9216,1649,56142
6/24/2016 0:00,PeakWD,15280,2130,2442,1337,18296,4453,8997,1616,54554
6/27/2016 0:00,PeakWD,15689,2251,2188,1272,19139,4475,9348,1519,55883
